Bien	ADV
que	SCONJ
généralement	ADV
bleu	ADJ
,	PUNCT
le	DET
ciel	NOUN
peut	VERB
être	VERB
rouge	ADJ
,	PUNCT
orange	ADJ
,	PUNCT
vert	ADJ
ou	CCONJ
pour	ADP
ainsi	ADV
dire	VERB
de	ADP
n'	PART
importe	VERB
quelle	ADJ
autre	PRON
teinte	NOUN
.	PUNCT

Bientôt	ADV
,	PUNCT
nous	PRON
avions	VERB
parcouru	VERB
une	DET
distance	NOUN
plus	ADV
longue	ADJ
que	SCONJ
celle	PRON
qui	SCONJ
sépare	VERB
l'	DET
Égypte	PROPN
de	ADP
la	DET
Crète	PROPN
,	PUNCT
de	ADP
la	DET
Grèce	PROPN
,	PUNCT
de	ADP
l'	DET
Italie	PROPN
ou	CCONJ
de	ADP
n'	PART
importe	VERB
quelle	ADJ
autre	PRON
partie	NOUN
de	ADP
la	DET
Méditerranée	PROPN
[	PUNCT
ils	PRON
avaient	VERB
donc	ADV
dépassé	VERB
de	ADP
loin	ADV
les	DET
prévisions	NOUN
des	DET
“	PUNCT
autorités	NOUN
”	PUNCT
en	ADP
la	DET
matière	NOUN
]	PUNCT
.	PUNCT

Depuis	ADP
son	DET
observatoire	NOUN
on	PRON
peut	VERB
distinguer	VERB
des	DET
objets	NOUN
éloignés	ADJ
d'	ADP
environ	ADV
130	NUM
kilomètres	NOUN
.	PUNCT

Le	DET
même	ADJ
genre	NOUN
d'	ADP
accident	NOUN
se	PRON
produisit	VERB
une	DET
fois	NOUN
lors	ADV
des	DET
Vingt	NUM
-	PUNCT
Quatre	NUM
Heures	NOUN
du	ADP+DET
Mans	PROPN
;	PUNCT
l'	DET
une	DET
des	DET
voitures	NOUN
quitta	VERB
la	DET
piste	NOUN
et	CCONJ
tua	VERB
quatre	NUM
-	PUNCT
vingt	NUM
-	PUNCT
deux	NUM
spectateurs	NOUN
.	PUNCT

Le	DET
thème	NOUN
,	PUNCT
simple	ADJ
et	CCONJ
pur	ADJ
,	PUNCT
se	PRON
joue	VERB
d'	ADP
abord	NOUN
,	PUNCT
puis	SCONJ
suivent	VERB
les	DET
variations	NOUN
qui	PRON
le	DET
modifient	VERB
ou	CCONJ
même	ADV
le	DET
déforment	VERB
par	ADP
des	DET
changements	NOUN
de	ADP
rythme	NOUN
,	PUNCT
de	ADP
mesure	NOUN
,	PUNCT
de	ADP
mode	NOUN
et	CCONJ
de	ADP
ton	NOUN
ou	CCONJ
par	ADP
une	DET
harmonisation	NOUN
différente	ADJ
.	PUNCT

La	DET
végétation	NOUN
luxuriante	ADJ
de	ADP
l'	DET
été	NOUN
servait	VERB
de	ADP
nourriture	NOUN
aux	ADP+DET
buffles	NOUN
,	PUNCT
aux	ADP+DET
cerfs	NOUN
,	PUNCT
aux	ADP+DET
orignacs	NOUN
et	CCONJ
à	ADP
d'	ADP
autres	PRON
bêtes	NOUN
qui	PRON
y	ADV
erraient	VERB
par	ADP
millions	NOUN
.	PUNCT

Donner	VERB
de	ADP
soi	PRON
-	PUNCT
même	ADJ
exige	VERB
sans	ADP
doute	NOUN
plus	ADV
de	ADP
temps	NOUN
que	SCONJ
d'	ADP
acheter	VERB
un	DET
cadeau	NOUN
,	PUNCT
mais	CCONJ
procure	VERB
aussi	ADV
plus	ADP
de	ADP
satisfaction	NOUN
.	PUNCT

Dans	ADP
beaucoup	ADV
de	ADP
pays	NOUN
,	PUNCT
les	DET
enfants	NOUN
réclament	VERB
une	DET
bicyclette	NOUN
pour	ADP
ainsi	ADV
dire	VERB
dès	ADP
qu'	SCONJ
ils	DET
savent	VERB
marcher	VERB
.	PUNCT

On	PRON
peut	VERB
se	PRON
faire	VERB
une	DET
idée	NOUN
de	ADP
l'	DET
appétit	NOUN
vorace	ADJ
de	ADP
